City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,77.41,76,0,14.0,light rain
1,Tiznit,MA,29.5833,-9.5,58.23,81,78,10.56,light rain
2,Lebu,CL,-37.6167,-73.65,62.56,71,37,25.05,scattered clouds
3,Bluff,NZ,-46.6,168.3333,56.19,90,100,2.77,light rain
4,Rikitea,PF,-23.1203,-134.9692,74.17,75,96,7.99,overcast clouds
5,Thompson,CA,55.7435,-97.8558,21.36,86,100,9.22,light snow
6,Carnarvon,AU,-24.8667,113.6333,71.62,76,0,20.6,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,20,5.75,few clouds
8,Northport,US,33.229,-87.5772,56.25,50,0,10.36,clear sky
9,Jamestown,US,42.097,-79.2353,38.79,72,100,17.27,snow
10,Khatanga,RU,71.9667,102.5,-24.14,100,100,4.43,overcast clouds
11,Fairbanks,US,64.8378,-147.7164,8.94,82,100,14.97,light snow
12,Bilibino,RU,68.0546,166.4372,-19.91,79,90,4.81,overcast clouds
13,Vaini,TO,-21.2,-175.2,77.16,83,20,9.22,light rain
14,Estacion Coahuila,MX,32.1939,-115.0017,61.97,21,41,5.19,scattered clouds
15,Port Alfred,ZA,-33.5906,26.891,69.19,95,13,3.27,few clouds
16,Ushuaia,AR,-54.8,-68.3,55.06,62,75,19.57,light rain
17,Nanortalik,GL,60.1432,-45.2371,21.83,80,76,4.88,broken clouds
18,Kyshtovka,RU,56.555,76.6271,-9.98,93,97,6.67,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,15.26,76,100,8.5,overcast clouds
20,Bengkulu,ID,-3.8004,102.2655,75.11,89,91,6.2,overcast clouds
21,Porbandar,IN,21.6422,69.6093,78.1,49,97,8.93,overcast clouds
22,Kapaa,US,22.0752,-159.319,79.12,74,0,1.01,clear sky
23,Niquelandia,BR,-14.4739,-48.4597,74.61,89,98,3.2,overcast clouds
24,Busselton,AU,-33.65,115.3333,56.08,82,0,13.4,clear sky
25,Kosel,PL,50.3356,18.1433,28.85,96,100,3.53,overcast clouds
26,Sinnamary,GF,5.3833,-52.95,78.21,87,63,9.78,broken clouds
27,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,0,5.57,clear sky
28,Olafsvik,IS,64.8945,-23.7142,25.66,64,100,19.51,overcast clouds
29,Bredasdorp,ZA,-34.5322,20.0403,69.94,92,95,15.95,light rain
30,Kawalu,ID,-7.3817,108.2082,72.39,96,100,1.43,overcast clouds
31,Guaranda,EC,-1.6,-79.0,64.71,96,91,6.96,light rain
32,Hearst,CA,49.6835,-83.6665,28.65,81,100,14.07,overcast clouds
33,Avarua,CK,-21.2078,-159.775,78.85,89,75,18.41,light rain
34,Qasigiannguit,GL,68.8193,-51.1922,28.65,96,100,7.78,snow
35,Pontianak,ID,-0.0333,109.3333,73.38,100,75,3.44,moderate rain
36,Jalu,LY,29.0331,21.5482,69.67,37,0,8.34,clear sky
37,Medicine Hat,CA,50.0501,-110.6683,14.99,79,20,9.22,few clouds
38,Albany,US,42.6001,-73.9662,35.67,76,100,5.01,overcast clouds
39,Longyearbyen,SJ,78.2186,15.6401,4.84,66,40,11.5,scattered clouds
40,Swinoujscie,PL,53.9105,14.2471,24.94,93,100,6.91,light snow
41,Polessk,RU,54.862,21.1028,19.45,93,14,8.43,few clouds
42,Dunedin,NZ,-45.8742,170.5036,61.81,98,100,3.76,overcast clouds
43,Ixtapa,MX,20.7,-105.2,77.23,61,0,10.36,clear sky
44,Nanuque,BR,-17.8392,-40.3539,66.36,97,100,3.44,light rain
45,Ulladulla,AU,-35.35,150.4667,51.3,74,77,10.13,broken clouds
46,Mahebourg,MU,-20.4081,57.7,76.24,83,20,10.36,few clouds
47,Cayenne,GF,4.9333,-52.3333,80.64,78,75,8.05,broken clouds
48,Mataura,NZ,-46.1927,168.8643,58.03,94,100,1.45,light rain
49,Dikson,RU,73.5069,80.5464,4.48,89,100,23.15,overcast clouds
50,Lompoc,US,34.6391,-120.4579,60.85,63,0,5.75,clear sky
51,Frontera,MX,26.9333,-101.45,70.32,30,40,1.99,scattered clouds
52,Alofi,NU,-19.0595,-169.9187,80.49,74,40,10.36,scattered clouds
53,Linhares,BR,-19.3911,-40.0722,71.11,87,100,2.73,overcast clouds
54,Hovd,MN,48.0056,91.6419,-4.7,62,0,5.61,clear sky
55,Chachapoyas,PE,-6.2317,-77.869,64.6,71,97,3.22,light rain
56,Hilo,US,19.7297,-155.09,84.27,80,75,5.99,broken clouds
57,Victoria,HK,22.2855,114.1577,62.26,93,100,1.99,overcast clouds
58,Kavieng,PG,-2.5744,150.7967,80.92,76,98,3.58,light rain
59,Bata,GQ,1.8639,9.7658,79.93,81,99,7.27,overcast clouds
60,Tres Picos,MX,15.8667,-93.5333,87.78,51,0,8.5,clear sky
61,Codrington,AU,-38.2667,141.9667,53.83,78,100,13.24,overcast clouds
62,Dhidhdhoo,MV,6.8833,73.1,81.3,76,7,14.7,clear sky
63,Hobart,AU,-42.8794,147.3294,51.66,90,75,8.05,light intensity drizzle
64,Khunti,IN,23.0833,85.2833,57.31,35,7,6.06,clear sky
65,Luderitz,NA,-26.6481,15.1594,67.24,90,5,1.9,clear sky
66,Punta Arenas,CL,-53.15,-70.9167,57.22,82,75,10.36,light intensity shower rain
67,Camacupa,AO,-12.0167,17.4833,60.49,97,39,4.38,moderate rain
68,Klaksvik,FO,62.2266,-6.589,31.12,57,100,11.27,overcast clouds
69,Guerrero Negro,MX,27.9769,-114.0611,65.03,26,17,4.36,few clouds
70,Koygorodok,RU,60.445,50.9968,13.19,90,11,8.34,few clouds
71,Hualmay,PE,-11.0964,-77.6139,73.98,71,100,8.97,overcast clouds
72,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,15.01,light rain
73,Montes Claros,BR,-16.735,-43.8617,73.18,78,75,4.61,broken clouds
74,Tequila,MX,20.8833,-103.8333,81.52,17,6,3.42,clear sky
75,Barrow,US,71.2906,-156.7887,10.42,72,100,9.22,overcast clouds
76,Bathsheba,BB,13.2167,-59.5167,83.01,87,20,18.41,few clouds
77,Dongsheng,CN,39.8161,109.9776,4.55,38,66,14.79,broken clouds
78,Omboue,GA,-1.5746,9.2618,77.92,86,79,6.85,broken clouds
79,Tasiilaq,GL,65.6145,-37.6368,19.56,60,87,5.14,overcast clouds
80,Lavrentiya,RU,65.5833,-171.0,-6.74,86,28,4.09,scattered clouds
81,Quelimane,MZ,-17.8786,36.8883,78.75,73,0,2.3,light rain
82,Talnakh,RU,69.4865,88.3972,0.23,92,100,16.6,overcast clouds
83,Evensk,RU,61.95,159.2333,17.76,83,100,32.23,overcast clouds
84,East London,ZA,-33.0153,27.9116,69.51,89,7,4.68,clear sky
85,Tiksi,RU,71.6872,128.8694,-28.44,100,96,2.17,overcast clouds
86,Mikkeli,FI,61.6886,27.2723,9.14,84,100,2.3,overcast clouds
87,Lixourion,GR,38.2019,20.4314,63.05,90,90,8.97,overcast clouds
88,Camopi,GF,3.1655,-52.3158,75.56,97,99,3.09,overcast clouds
89,Cockburn Town,TC,21.4612,-71.1419,78.01,65,0,14.38,clear sky
90,Muswellbrook,AU,-32.2667,150.9,55.33,75,95,7.72,overcast clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,61,20,17.27,few clouds
92,Egvekinot,RU,66.3167,-179.1667,-15.0,94,100,1.05,overcast clouds
93,Bandarbeyla,SO,9.4942,50.8122,76.75,74,0,18.57,clear sky
94,Puri,IN,19.8,85.85,66.72,57,12,2.1,few clouds
95,Inuvik,CA,68.3499,-133.7218,-1.34,84,20,4.61,few clouds
96,Adamas,GR,36.7333,24.4333,64.71,88,7,20.65,clear sky
97,Port Hardy,CA,50.6996,-127.4199,39.38,87,75,3.44,broken clouds
98,Saskylakh,RU,71.9167,114.0833,-29.42,100,100,2.15,overcast clouds
99,Sierra Vista,US,31.5545,-110.3037,55.85,27,0,3.44,clear sky
100,Airai,TL,-8.9266,125.4092,60.89,89,100,1.43,overcast clouds
101,Nabire,ID,-3.3667,135.4833,75.74,93,100,3.22,overcast clouds
102,Saint George,US,37.1041,-113.5841,47.43,43,0,6.91,clear sky
103,Isangel,VU,-19.55,169.2667,80.71,61,2,3.44,clear sky
104,Koungheul,SN,13.9833,-14.8,82.27,9,1,5.97,clear sky
105,Mitsamiouli,KM,-11.3847,43.2844,80.17,80,12,9.4,few clouds
106,Hithadhoo,MV,-0.6,73.0833,81.27,71,99,11.52,overcast clouds
107,Torbat-E Jam,IR,35.244,60.6225,48.36,46,17,5.75,few clouds
108,Beboto,TD,8.2668,16.939,78.08,23,0,4.21,clear sky
109,Lagoa,PT,39.05,-27.9833,55.99,74,100,12.62,overcast clouds
110,Kodiak,US,57.79,-152.4072,36.91,93,100,13.8,moderate rain
111,Kaitangata,NZ,-46.2817,169.8464,58.68,92,93,1.86,overcast clouds
112,Beyneu,KZ,45.3167,55.2,32.92,60,100,10.71,overcast clouds
113,Maragogi,BR,-9.0122,-35.2225,79.9,73,100,12.97,overcast clouds
114,Butaritari,KI,3.0707,172.7902,81.01,75,37,8.3,scattered clouds
115,Perth,AU,-31.9333,115.8333,63.03,66,0,17.27,clear sky
116,Donskoye,RU,45.4552,41.9741,37.53,84,100,15.95,overcast clouds
117,Hambantota,LK,6.1241,81.1185,74.37,81,100,7.94,overcast clouds
118,Mayumba,GA,-3.432,10.6554,77.63,87,74,4.99,broken clouds
119,Bethel,US,41.3712,-73.414,38.48,79,100,8.05,overcast clouds
120,Ilulissat,GL,69.2167,-51.1,28.42,93,75,14.97,light shower snow
121,Akyab,MM,20.15,92.9,66.97,69,55,9.37,broken clouds
122,Gizo,SB,-8.103,156.8419,82.27,73,64,4.56,broken clouds
123,Pevek,RU,69.7008,170.3133,-34.19,97,8,0.63,clear sky
124,Upernavik,GL,72.7868,-56.1549,24.64,90,100,31.83,snow
125,The Pas,CA,53.8251,-101.2541,17.62,93,100,13.8,overcast clouds
126,Nome,US,64.5011,-165.4064,-5.73,84,0,0.0,clear sky
127,Dunmore East,IE,52.1514,-6.9861,34.0,79,0,10.36,clear sky
128,Hasaki,JP,35.7333,140.8333,32.4,39,3,3.44,clear sky
129,Mattru,SL,7.6244,-11.8332,77.81,80,4,4.76,clear sky
130,Pervomayskiy,RU,53.2485,40.2871,22.33,85,100,13.6,overcast clouds
131,Zemio,CF,5.0314,25.1361,75.88,40,11,0.11,few clouds
132,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,20,10.36,few clouds
133,Nikolskoye,RU,59.7035,30.7861,17.49,96,100,2.95,light snow
134,Esmeraldas,BR,-19.7625,-44.3139,77.11,81,97,8.79,overcast clouds
135,Atuona,PF,-9.8,-139.0333,78.08,73,8,20.62,clear sky
136,Sao Filipe,CV,14.8961,-24.4956,79.14,62,0,10.22,clear sky
137,Sorland,NO,67.667,12.6934,30.06,41,99,19.95,overcast clouds
138,Port Elizabeth,ZA,-33.918,25.5701,72.32,96,100,3.44,overcast clouds
139,Leshukonskoye,RU,64.8989,45.7622,20.3,88,100,13.51,overcast clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,77.61,53,0,4.61,clear sky
141,Aswan,EG,24.0934,32.907,67.3,45,0,6.91,clear sky
142,Lagos,NG,6.5833,3.75,80.92,79,95,6.42,overcast clouds
143,San Cristobal,VE,7.7669,-72.225,78.98,54,12,6.35,few clouds
144,Okakarara,NA,-20.5833,17.4333,72.07,65,100,11.7,light rain
145,Hobyo,SO,5.3505,48.5268,77.56,70,0,14.54,clear sky
146,Vila Do Maio,CV,15.1333,-23.2167,77.79,79,0,15.37,clear sky
147,Hamilton,US,39.1834,-84.5333,46.98,71,100,13.8,overcast clouds
148,Mingaora,PK,34.7758,72.3625,53.31,24,100,7.67,overcast clouds
149,Green River,US,41.5286,-109.4662,14.4,83,92,4.92,overcast clouds
150,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,68,20,10.36,few clouds
151,Ariquemes,BR,-9.9133,-63.0408,81.52,73,100,1.79,overcast clouds
152,Mangrol,IN,21.1167,70.1167,76.14,68,100,5.03,overcast clouds
153,New Norfolk,AU,-42.7826,147.0587,51.3,75,94,1.99,overcast clouds
154,Port Hedland,AU,-20.3167,118.5667,78.85,65,0,12.66,clear sky
155,Yellowknife,CA,62.456,-114.3525,-7.08,84,75,5.75,mist
156,Namatanai,PG,-3.6667,152.4333,79.03,82,74,4.32,light rain
157,Morges,CH,46.5113,6.4985,46.22,96,100,10.02,overcast clouds
158,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,93,5.01,overcast clouds
159,Cap Malheureux,MU,-19.9842,57.6142,76.46,76,75,3.0,broken clouds
160,Vitim,RU,59.4511,112.5578,-11.42,93,100,14.03,overcast clouds
161,Monze,ZM,-16.2833,27.4833,66.65,82,88,2.73,overcast clouds
162,Tallahassee,US,30.4383,-84.2807,67.08,45,0,10.36,clear sky
163,Luanda,AO,-8.8368,13.2343,78.8,83,20,9.22,few clouds
164,Waipawa,NZ,-41.4122,175.5153,65.52,81,99,4.63,moderate rain
165,Algiers,DZ,36.7525,3.042,62.42,59,75,6.91,light rain
166,Kranuan,TH,16.7067,103.0788,68.52,65,99,3.2,overcast clouds
167,Qaqortoq,GL,60.7167,-46.0333,11.43,76,99,5.99,overcast clouds
168,Pizarro,CO,4.9533,-77.366,79.81,83,50,9.46,light rain
169,Skjervoy,NO,70.0311,20.9714,35.6,70,100,24.16,light rain
170,Liverpool,GB,53.4106,-2.9779,30.43,89,0,3.44,clear sky
171,Sioux Lookout,CA,50.1001,-91.917,24.87,86,100,10.36,light shower snow
172,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,99,11.77,light rain
173,Carballo,ES,43.213,-8.691,53.87,90,100,3.18,overcast clouds
174,Flinders,AU,-34.5833,150.8552,55.38,68,84,11.23,broken clouds
175,Abong Mbang,CM,3.9833,13.1833,72.55,51,14,1.57,few clouds
176,Leningradskiy,RU,69.3833,178.4167,-25.22,91,20,4.27,few clouds
177,Luganville,VU,-15.5333,167.1667,79.63,76,24,6.24,few clouds
178,Ahipara,NZ,-35.1667,173.1667,67.12,91,100,2.28,light rain
179,Te Anau,NZ,-45.4167,167.7167,59.11,92,83,0.13,light rain
180,Mbandaka,CD,0.0487,18.2603,74.34,80,19,1.77,few clouds
181,Villazon,BO,-22.0866,-65.5942,60.19,47,67,16.31,broken clouds
182,Nara,JP,34.6851,135.8049,42.49,69,3,4.41,clear sky
183,Narsaq,GL,60.9167,-46.05,16.02,73,91,6.85,overcast clouds
184,Bereda,ES,43.2686,-7.5406,49.57,100,100,1.79,overcast clouds
185,Saldanha,ZA,-33.0117,17.9442,70.11,82,47,4.41,scattered clouds
186,Provideniya,RU,64.3833,-173.3,8.71,72,100,6.71,light snow
187,Abha,SA,18.2164,42.5053,55.22,76,20,5.75,few clouds
188,Shadegan,IR,30.6497,48.6647,62.55,67,17,5.39,few clouds
189,Port Macquarie,AU,-31.4333,152.9167,59.9,71,42,10.07,scattered clouds
190,Disa,IN,24.25,72.1667,65.44,36,5,7.43,clear sky
191,Nishihara,JP,26.1842,127.7558,65.48,91,100,13.8,overcast clouds
192,Svetlyy,RU,54.675,20.1347,19.45,84,19,11.18,few clouds
193,Batagay-Alyta,RU,67.8006,130.4114,-33.39,94,10,3.71,clear sky
194,Padang,ID,-0.9492,100.3543,75.87,81,77,2.64,broken clouds
195,Lerwick,GB,60.1545,-1.1494,37.4,61,100,13.04,overcast clouds
196,Terney,RU,45.0503,136.6092,-1.48,72,40,11.97,scattered clouds
197,Chimbote,PE,-9.0853,-78.5783,72.81,74,88,9.26,overcast clouds
198,Atasu,KZ,48.6814,71.6433,2.68,76,0,8.32,clear sky
199,Mar Del Plata,AR,-38.0023,-57.5575,68.02,65,0,20.71,clear sky
200,Port Blair,IN,11.6667,92.75,77.31,71,100,9.6,overcast clouds
201,Avera,US,33.194,-82.5271,62.38,56,0,10.94,clear sky
202,Coquimbo,CL,-29.9533,-71.3436,65.93,77,20,16.11,few clouds
203,Kieta,PG,-6.2167,155.6333,81.09,79,62,1.5,broken clouds
204,Cidreira,BR,-30.1811,-50.2056,74.01,77,100,12.91,overcast clouds
205,Vilya,RU,55.2456,42.2089,21.97,85,100,10.89,light snow
206,Abu Dhabi,AE,24.4667,54.3667,75.22,71,0,5.75,clear sky
207,El Sauzal,MX,31.9,-116.6833,56.41,67,90,3.98,overcast clouds
208,Ancud,CL,-41.8697,-73.8203,60.15,61,100,6.33,overcast clouds
209,Obo,CF,5.3998,26.4869,77.85,35,72,2.55,broken clouds
210,Teguldet,RU,57.3064,88.1667,-8.37,97,62,4.92,broken clouds
211,Paita,PE,-5.0892,-81.1144,72.57,73,94,14.25,overcast clouds
212,Torbay,CA,47.6666,-52.7314,39.58,97,100,27.0,light rain
213,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.97,67,86,2.39,overcast clouds
214,Pucallpa,PE,-8.3791,-74.5539,91.44,49,40,5.75,scattered clouds
215,Sayyan,YE,15.1718,44.3244,48.65,49,95,3.44,overcast clouds
216,Praya,CV,14.9215,-23.5087,77.54,65,0,19.57,clear sky
217,Richards Bay,ZA,-28.783,32.0377,74.1,96,91,2.48,overcast clouds
218,Say,NE,13.1007,2.3689,81.16,12,65,7.85,broken clouds
219,Synya,RU,65.3718,58.0387,13.73,91,100,13.71,overcast clouds
220,Iquique,CL,-20.2208,-70.1431,73.44,69,22,7.72,few clouds
221,Sigulda,LV,57.1519,24.8647,8.1,97,97,5.03,overcast clouds
222,Kununurra,AU,-15.7667,128.7333,76.98,88,100,0.0,overcast clouds
223,Faanui,PF,-16.4833,-151.75,80.11,77,99,18.28,overcast clouds
224,Wajima,JP,37.4,136.9,42.13,90,100,17.38,overcast clouds
225,Hermanus,ZA,-34.4187,19.2345,71.8,88,85,15.88,light rain
226,Svetlogorsk,BY,52.6333,29.7333,26.35,92,100,8.72,overcast clouds
227,Aksha,RU,50.2814,113.2867,-4.14,68,100,15.79,overcast clouds
228,Port Lincoln,AU,-34.7333,135.8667,58.28,68,100,14.36,overcast clouds
229,Yar-Sale,RU,66.8333,70.8333,12.25,89,100,18.52,overcast clouds
230,Gamba,GA,-2.65,10.0,76.69,88,50,4.65,light rain
